,P_MPa,H2O,CO2,H2Om,OHm
2693,234.53125,3.768699562113775,415.2600000001041,1.95091481602042,1.8180484470218337
2694,234.46875,3.7684554396009333,415.0800000001041,1.9507073176690304,1.8180116914735198
2695,234.40625,3.7682133679818204,414.9000000001041,1.9505015673544228,1.8179752389403485
2696,234.34375,3.7679712302048447,414.7200000001041,1.9502957658115727,1.817938771487628
2697,234.28125,3.767636272946695,414.5400000001041,1.9500110905470793,1.8178883518066302
2698,234.21875,3.767286114816997,414.3600000001041,1.9497135075147907,1.8178356379808858
2699,234.1875,3.7669991680991854,414.1800000001041,1.9494696486306484,1.8177924158516139
2700,234.125,3.7667539514731136,414.0000000001041,1.9492612559535423,1.817755460535511
2701,234.0625,3.7665131604698048,413.8200000001041,1.9490566288932107,1.8177191655488696
2702,234.0,3.7662690184982703,413.64000000010407,1.9488491595023378,1.8176823617056026
2703,233.9375,3.765984332005149,413.46000000010406,1.948607245928205,1.8176394547141697
2704,233.875,3.7656338144001844,413.28000000010405,1.9483094067500375,1.8175866376478813
2705,233.84375,3.765289579444757,413.10000000010405,1.9480169158022589,1.8175347554593293
2706,233.78125,3.7650419865547198,412.92000000010404,1.9478065400433437,1.8174974068922582
2707,233.71875,3.764801110280305,412.74000000010403,1.9476018757020601,1.8174610640053264
2708,233.65625,3.764553752441985,412.560000000104,1.9473917099534301,1.8174237405258784
2709,233.59375,3.764306665015228,412.380000000104,1.9471817791488244,1.8173864525477725
2710,233.53125,3.7639811582330185,412.200000000104,1.9469052365974573,1.8173373515293016
2711,233.46875,3.7636298306596334,412.020000000104,1.9466067692416227,1.8172843527512592
2712,233.4375,3.7633246680513044,411.840000000104,1.9463475265579955,1.8172382974910022
2713,233.375,3.76307429908464,411.660000000104,1.9461348342825118,1.817200489283531
2714,233.3125,3.762832099434027,411.480000000104,1.9459290863375907,1.8171639066431597
2715,233.25,3.762582652753339,411.300000000104,1.9457171879644632,1.817126226913369
2716,233.1875,3.76233763390144,411.12000000010397,1.9455090556978398,1.8170892092277366
2717,233.125,3.7619820929609307,410.94000000010396,1.9452070591075232,1.8170355261391362
2718,233.0625,3.7616284599193226,410.76000000010396,1.9449066936673018,1.8169821199529668
2719,233.03125,3.7613440825687054,410.58000000010395,1.944665155373165,1.8169391471244605
2720,232.96875,3.761096437292534,410.40000000010394,1.944454818549939,1.8169017074568568
2721,232.90625,3.760849344972327,410.22000000010394,1.9442449565560131,1.8168643459691711
2722,232.84375,3.760598776928946,410.04000000010393,1.944032148182021,1.816826454913229
2723,232.78125,3.7603524534808357,409.8600000001039,1.9438229496194503,1.8167891989494813
2724,232.71875,3.7599786894827862,409.6800000001039,1.9435055391447147,1.816732705565555
2725,232.65625,3.7596320297547887,409.5000000001039,1.9432111554145357,1.8166802916000213
2726,232.625,3.7593525893899087,409.3200000001039,1.9429738576342108,1.8166380157049282
2727,232.5625,3.759104954570278,409.1400000001039,1.9427635718655187,1.8166005355530908
2728,232.5,3.758853831936279,408.9600000001039,1.9425503299950881,1.8165625234633054
2729,232.4375,3.7586033203156752,408.7800000001039,1.9423376122944553,1.816524598274446
2730,232.375,3.758352740230567,408.6000000001039,1.9421248418392076,1.816486657386187
2731,232.3125,3.7579810464376564,408.42000000010387,1.9418092528147373,1.816430413039668
2732,232.25,3.7576299558961814,408.24000000010386,1.9415111667466687,1.8163772704280021
2733,232.21875,3.757347158868743,408.06000000010386,1.9412710672687485,1.8163344394572574
2734,232.15625,3.75709645140543,407.88000000010385,1.9410582156226808,1.8162964524413925
2735,232.09375,3.7568463716916463,407.70000000010384,1.9408459022485631,1.8162585549614452
2736,232.03125,3.7565926824181406,407.52000000010383,1.9406305302103515,1.816220106353191
2737,231.96875,3.7563390624586415,407.3400000001038,1.9404152225234563,1.8161816627277823
2738,231.90625,3.75598389747573,407.1600000001038,1.9401137273606235,1.8161278546036523
2739,231.84375,3.7556304237546363,406.9800000001038,1.9398136785022515,1.8160742915744126
2740,231.8125,3.755328533519157,406.8000000001038,1.9395574219743348,1.81602852325761
2741,231.75,3.755076070410469,406.6200000001038,1.9393431236121266,1.8159902273067288
2742,231.6875,3.7548236566302595,406.4400000001038,1.9391288725812363,1.8159519333717111
2743,231.625,3.7545678885141007,406.2600000001038,1.9389117802221785,1.815913126214608
2744,231.5625,3.7543121902799466,406.0800000001038,1.938694752780377,1.8158743240425594
2745,231.5,3.7539839545308835,405.9000000001038,1.9384161724698454,1.815824532278714
2746,231.4375,3.7536350441924338,405.72000000010377,1.9381200567006214,1.8157715999907038
2747,231.40625,3.753296961370906,405.54000000010376,1.9378331393862427,1.8157202975258238
2748,231.34375,3.7530429312148903,405.36000000010375,1.9376175552744306,1.8156817202854587
